Conductor Name / Stranding Type,1s Fault Rating (kA),Rdc,Alpha[20],A[c],C[20],Diameter,Area,Mass,Skin,Magnetic,T[max],Eqv Al,Density,Limited,User Specified SD
Emu,17.32,0.2,0.00426,0.00023,0.62443,18.4,205.2,952,1.015,1.13,160,140.2,0.004639376,469,389
Finch,57.56,0.051,0.00413,0.00036,0.77962,32.85,635.7,2127,1.015,1.06,160,551.6,0.003345361,1226,1000
Brolga,46.65,0.063,0.00413,0.00036,0.77964,29.5,515.2,1726,1.015,1.06,160,445,0.003350155,1055,863
Martin,69.87,0.042,0.00413,0.00036,0.78095,36.17,771.5,2577,1.015,1.07,160,667.8,0.003340246,1397,1136
Gopher,2.74,1.091,0.00415,0.00034,0.75677,7.09,30.7,106,1,1.1,160,25.9,0.00345502,147,126
Weasel,3.22,0.907,0.00415,0.00034,0.75684,7.77,36.9,122,1,1.1,160,30,0.003294469,167,141
Ferret,4.41,0.678,0.00415,0.00034,0.7565,8.99,49.4,171,1,1.1,160,41.7,0.003462239,202,171
Mink,6.57,0.455,0.00415,0.00034,0.75664,10.97,73.7,255,1,1.1,160,62,0.003459503,263,221
Racoon,8.2,0.364,0.00415,0.00034,0.75671,12.27,92.4,318,1,1.1,160,78,0.003441558,305,255
Cat,9.93,0.301,0.00415,0.00034,0.75667,13.49,111.3,385.2,1,1.1,160,93.8,0.003460916,349,291
Dog,10.72,0.273,0.00413,0.00036,0.77901,14.2,118.8,395,1.015,1.13,160,104,0.003323797,366,305
Hyena,11.21,0.27,0.00416,0.00033,0.74198,14.6,126.2,449.9,1.015,1.13,160,104.6,0.003564976,372,310
Coyote,13.62,0.219,0.00414,0.00034,0.7658,15.97,151.7,521,1.015,1,160,128.8,0.003434511,455,378
Tiger,14.21,0.22,0.00418,0.00031,0.7232,16.54,161.7,605,1.015,1,160,128,0.003741497,461,383
Wolf,17.09,0.183,0.00418,0.00031,0.72322,18.14,195.1,728,1.015,1,160,154,0.003731685,524,435
Dingo,15.3,0.181,0.00408,0.0004,0.83746,16.75,167.5,495,1.015,1,160,156,0.002955224,512,424
Lynx,19.89,0.157,0.00418,0.00031,0.72319,19.56,226.9,845.7,1.015,1,160,179,0.003727966,583,482
Lion,25.64,0.122,0.00418,0.00031,0.72322,22.2,293,1092,1.015,1,160,232,0.003726962,697,575
Panther,22.85,0.137,0.00418,0.00031,0.72318,20.98,261,974,1.015,1,160,207,0.003731372,643,531
Bear,28.66,0.109,0.00418,0.00031,0.72323,23.47,326.6,1219,1.015,1,160,259,0.003731937,753,620
Goat,35.08,0.089,0.00418,0.00031,0.72322,25.96,399.6,1491,1.015,1,160,316,0.003731138,868,713
Bison,38.84,0.076,0.00413,0.00036,0.77962,26.72,430.4,1443,1.015,1.07,160,372,0.003352773,922,756
Zebra,43.49,0.068,0.00413,0.00036,0.77964,28.58,483,1619,1.015,1.07,160,417,0.003352175,1004,822
Camel,48.5,0.061,0.00413,0.00036,0.77963,30.18,538.6,1806,1.015,1.07,160,465,0.003353262,1084,886
Moose,53.76,0.055,0.00413,0.00036,0.77962,31.76,597,2001,1.015,1.07,160,516,0.00335159,1165,951
Bantam,1.06,4.323,0.00432,0.00017,0.55101,5,15.5,87.7,1.015,1.06,160,8.1,0.005658065,67,58
Magpie,1.69,2.709,0.00432,0.00017,0.55092,6.36,24.7,139.7,1.015,1.06,160,12.8,0.00565587,91,78
Shrike,2.68,1.706,0.00432,0.00017,0.55069,8.01,39.3,221.7,1.015,1.06,160,20.4,0.005641221,123,105
Loon,5.37,0.852,0.00432,0.00017,0.55096,11.34,78.7,444,1.015,1.06,160,41,0.005641677,195,164
Skating,1.34,2.75,0.0037,0.00018,0.56337,5.3,16.8,84,1.015,1.06,150,10,0.005,87,74
Soccer,2.74,1.34,0.0037,0.00018,0.5637,7.5,34.4,170,1.015,1.06,150,21,0.00494186,139,118
Angling,3.13,0.923,0.00391,0.00035,0.77192,7.5,34.4,113,1.015,1.07,150,31,0.003284884,166,140
Swimming,4.16,0.807,0.00375,0.00022,0.61534,9,49.5,217,1.015,1.1,150,35,0.004383838,187,157
Aquatics,3.79,0.763,0.00391,0.00035,0.77233,8.3,41.6,137,1,1.1,150,37.1,0.003293269,187,158
Archery,4.51,0.641,0.00391,0.00035,0.77196,9,49.5,163,1.015,1.1,150,44,0.003292929,208,175
Tennis,6.5,0.517,0.00375,0.00022,0.61527,11.3,77.3,339,1.015,1.1,150,55,0.004385511,251,209
Baseball,7.05,0.41,0.00391,0.00035,0.77223,11.3,77.3,255,1.015,1.1,150,69,0.003298836,280,234
Bowls,11.02,0.259,0.00393,0.00037,0.79129,14.3,120.4,385,1.015,1.13,150,109,0.003197674,380,316
Cricket,16.37,0.182,0.00388,0.00032,0.74049,17.5,181.6,635,1.015,1,150,155,0.003496696,524,433
Darts,23.59,0.126,0.00388,0.00032,0.74044,21,261.5,913,1.015,1,150,224,0.003491396,678,557
Dice,27.58,0.108,0.00388,0.00032,0.74045,22.8,307,1070,1.015,1,150,262.7,0.003485342,757,621
Diving,32.03,0.0928,0.00388,0.00032,0.74045,24.5,356,1240,1.015,1,150,305,0.003483146,841,688
Golf,39.48,0.0726,0.00393,0.00037,0.7935,27,431.2,1380,1.015,1.06,150,390,0.003200371,959,783
Gymnastics,46.32,0.0619,0.00393,0.00037,0.79348,29.3,506,1620,1.015,1.06,150,457,0.003201581,1074,875
Hurdles,53.78,0.0533,0.00393,0.00037,0.79347,31.5,586.9,1880,1.015,1.06,150,530,0.003203271,1192,969
Lacrosse,61.63,0.0465,0.00393,0.00037,0.79504,33.8,671.7,2150,1.015,1.07,150,608,0.003200834,1307,1061
Rugby,98.69,0.0291,0.00393,0.00037,0.79505,42.89,1078.1,3450,1.015,1.07,150,976,0.003200021,1820,1468
Barley,3.07,0.975,0.00415,0.00034,0.75667,7.5,34.4,119,1.015,1.07,150,29,0.003463329,160,136
Bean,4.41,0.677,0.00415,0.00034,0.75669,9,49.5,171,1.015,1.1,150,42,0.003455942,201,170
Cabbage,6.9,0.433,0.00415,0.00034,0.7566,11.3,77.3,268,1.015,1.1,150,65,0.003466563,270,226
Carrot,10.87,0.271,0.00413,0.00035,0.77725,14.3,120.4,404,1.015,1.13,150,105,0.003355482,369,307
Corn,15.9,0.196,0.00418,0.00031,0.72319,17.5,181.6,675,1.015,1,150,144,0.00371696,499,414
Garlic,22.92,0.136,0.00418,0.00031,0.72321,21,261.5,973,1.015,1,150,207,0.003720841,645,533
Millet,31.13,0.1,0.00418,0.00031,0.72322,24.5,356,1320,1.015,1,150,282,0.003707865,801,658
Oats,38.85,0.0758,0.00413,0.00036,0.77961,27,431.2,1440,1.015,1.06,150,373,0.003339518,931,763
Onion,45.59,0.0646,0.00413,0.00036,0.77962,29.3,506,1690,1.015,1.06,150,438,0.003339921,1042,853
Parsnip,52.87,0.0557,0.00413,0.00036,0.77964,31.5,586.9,1960,1.015,1.06,150,508,0.003339581,1156,944
Potato,60.77,0.0485,0.00413,0.00036,0.78133,33.8,672,2250,1.015,1.07,150,583,0.003348214,1269,1034
Rice,97.26,0.0303,0.00413,0.00036,0.78133,42.8,1078,3600,1.015,1.07,150,936,0.003339518,1768,1431
Quince,1.27,3.32,0.00406,0.00017,0.55108,5.3,16.8,95,1.015,1.06,160,8.5,0.005654762,78,67
Raisin,2.59,1.63,0.00406,0.00017,0.551,7.5,34.4,194,1.015,1.06,160,17,0.005639535,125,106
Sultana,4.04,0.92,0.00394,0.00021,0.59876,9,49.5,243,1.015,1.1,160,31,0.004909091,173,146
Apple,4.37,0.7,0.0039,0.00034,0.75646,9,49.5,171,1.015,1.1,160,40,0.003454545,199,168
Banana,6.85,0.448,0.0039,0.00034,0.75649,11.25,77.3,268,1,1.1,160,63,0.003467012,270,225
Cherry,10.77,0.279,0.0039,0.00035,0.7771,14.3,120,402,1.015,1.13,160,101,0.00335,367,304
Grape,15.79,0.203,0.0039,0.00031,0.72313,17.5,181.6,676,1.015,1,160,139,0.003722467,495,409
Fig,16.63,0.173,0.0039,0.0004,0.83735,17.5,183,552,1.015,1,160,164,0.003016393,537,443
Lemon,22.73,0.141,0.0039,0.00031,0.72306,21,261.5,973,1.015,1,160,200,0.003720841,640,526
Lychee,26.67,0.12,0.0039,0.00031,0.72309,22.8,307,1140,1.015,1,160,234.8,0.003713355,717,588
Lime,30.83,0.104,0.0039,0.00031,0.72311,24.5,356,1320,1.015,1,160,273,0.003707865,795,650
Mango,38.51,0.0784,0.0039,0.00036,0.77953,27,431.2,1440,1.015,1.06,160,360,0.003339518,924,754
Orange,45.16,0.0669,0.0039,0.00036,0.77953,29.3,506,1690,1.015,1.06,160,423,0.003339921,1034,842
Olive,52.32,0.0578,0.0039,0.00036,0.77955,31.5,587,1960,1.015,1.06,160,491,0.003339012,1146,931
Pawpaw,60.65,0.05,0.00369,0.00036,0.78123,33.8,672,2240,1.015,1.07,160,563,0.003333333,1273,1028
Peach,99.27,0.03,0.00369,0.00036,0.78123,42.8,1078,3600,1.015,1.07,160,904,0.003339518,1780,1428
Archery,4.48,0.662,0.00366,0.00035,0.7722,9,49.5,163,1,1.1,150,42.7,0.003294255,209,175
Baseball,6.98,0.424,0.00366,0.00035,0.77212,11.25,77.3,254,1,1.1,150,66.6,0.003285362,280,233
Volleyball,9.18,0.335,0.00365,0.000312,0.725,13.2,103,369,1.015,1.13,150,84.5,0.003582524,328,271
Boxing,16.86,0.169,0.00367,0.00041,0.84556,17.5,182.8,540,1.015,1,150,164,0.002954025,549,451
Bowls,10.96,0.267,0.00366,0.00037,0.79115,14.38,120.4,385,1.015,1.13,150,101,0.003197738,380,313
Cricket,16.25,0.188,0.00365,0.00032,0.74032,17.63,181.6,636,1.015,1,150,150.3,0.003501753,522,429
Darts,23.41,0.13,0.00365,0.00032,0.74037,21.15,261.5,913,1.015,1,150,216.5,0.003490894,676,553
Dice,27.43,0.111,0.00365,0.00032,0.74036,22.91,306.9,1070,1.015,1,150,254.1,0.003485984,756,617
Diving,31.73,0.0961,0.00365,0.00032,0.74035,24.68,356,1240,1.015,1,150,294.6,0.003483325,837,682
Golf,39.22,0.075,0.00366,0.00037,0.79342,27.15,431.2,1380,1.015,1.06,150,360,0.003200493,956,777
Gymnastics,46.03,0.0639,0.00366,0.00037,0.79341,29.41,506,1620,1.015,1.06,150,422.5,0.003201316,1070,868
Hurdles,54.86,0.0522,0.00366,0.00037,0.79339,31.68,586.9,1880,1.015,1.06,150,490,0.003203333,1220,987
3/4/2.50 AACSR/GZ,2.48,1.78,0.00406,0.00017,0.551,7.5,34.4,194,1.015,1.06,160,16,0.005639535,119,101
4/3/3.00 AACSR/GZ,3.84,1.02,0.00394,0.00021,0.59876,9,49.5,243,1.015,1.1,160,28,0.004909091,165,139
4/3/3.75 AACSR/GZ,6,0.65,0.00394,0.00021,0.59879,11.3,77.3,379,1.015,1.1,160,43,0.004902975,222,185
